identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,0,0,-64,1,10,-65,18
80:6F:B0:EE:AC:E1,0,1,-64,1,10,25,63
80:6F:B0:EE:AC:E1,0,2,-64,1,10,73,-22
80:6F:B0:EE:AC:E1,0,3,-64,1,10,-17,-73
80:6F:B0:EE:AC:E1,0,4,-64,1,10,-70,21
80:6F:B0:EE:AC:E1,0,5,-64,1,10,21,68
80:6F:B0:EE:AC:E1,0,6,-64,1,10,61,-15
80:6F:B0:EE:AC:E1,0,7,-64,1,10,-13,-72
80:6F:B0:EE:AC:E1,0,8,-64,1,10,17,65
80:6F:B0:EE:AC:E1,0,9,-64,1,10,-20,-79
80:6F:B0:EE:AC:E1,0,10,-64,1,10,15,64
80:6F:B0:EE:AC:E1,0,11,-64,1,10,-8,-66
80:6F:B0:EE:AC:E1,0,12,-64,1,10,9,72
80:6F:B0:EE:AC:E1,0,13,-64,1,10,-2,-70
80:6F:B0:EE:AC:E1,0,14,-64,1,10,9,72
80:6F:B0:EE:AC:E1,0,15,-64,1,10,-4,-68
80:6F:B0:EE:AC:E1,0,16,-64,1,10,10,72
80:6F:B0:EE:AC:E1,0,17,-64,1,10,1,-69
80:6F:B0:EE:AC:E1,0,18,-64,1,10,7,68
80:6F:B0:EE:AC:E1,0,19,-64,1,10,-2,-71
80:6F:B0:EE:AC:E1,0,20,-64,1,10,-4,70
80:6F:B0:EE:AC:E1,0,21,-64,1,10,15,-82
80:6F:B0:EE:AC:E1,0,22,-64,1,10,-10,70
80:6F:B0:EE:AC:E1,0,23,-64,1,10,13,-64
80:6F:B0:EE:AC:E1,0,24,-64,1,10,-17,67
80:6F:B0:EE:AC:E1,0,25,-64,1,10,20,-72
80:6F:B0:EE:AC:E1,0,26,-64,1,10,-19,72
80:6F:B0:EE:AC:E1,0,27,-64,1,10,20,-64
80:6F:B0:EE:AC:E1,0,28,-64,1,10,-30,63
80:6F:B0:EE:AC:E1,0,29,-64,1,10,29,-69
80:6F:B0:EE:AC:E1,0,30,-64,1,10,-45,61
80:6F:B0:EE:AC:E1,0,31,-64,1,10,40,-62
80:6F:B0:EE:AC:E1,0,32,-64,1,10,-47,64
80:6F:B0:EE:AC:E1,0,33,-64,1,10,39,-64
80:6F:B0:EE:AC:E1,0,34,-64,1,10,-40,59
80:6F:B0:EE:AC:E1,0,35,-64,1,10,41,-54
80:6F:B0:EE:AC:E1,0,36,-64,1,10,-48,44
80:6F:B0:EE:AC:E1,0,37,-64,1,10,44,-54
80:6F:B0:EE:AC:E1,0,38,-64,1,10,-52,56
80:6F:B0:EE:AC:E1,0,39,-64,1,10,50,-54
80:6F:B0:EE:AC:E1,0,40,-64,1,10,-57,39
80:6F:B0:EE:AC:E1,0,41,-64,1,10,52,-55
80:6F:B0:EE:AC:E1,0,42,-64,1,10,-55,49
80:6F:B0:EE:AC:E1,0,43,-64,1,10,51,-41
80:6F:B0:EE:AC:E1,0,44,-64,1,10,-59,47
80:6F:B0:EE:AC:E1,0,45,-64,1,10,46,-50
80:6F:B0:EE:AC:E1,0,46,-64,1,10,-57,39
80:6F:B0:EE:AC:E1,0,47,-64,1,10,61,-32
80:6F:B0:EE:AC:E1,0,48,-64,1,10,-67,32
80:6F:B0:EE:AC:E1,0,49,-64,1,10,58,-32
80:6F:B0:EE:AC:E1,0,50,-64,1,10,-74,24
80:6F:B0:EE:AC:E1,0,51,-64,1,10,62,-25
80:6F:B0:EE:AC:E1,0,52,-64,1,10,-67,20
80:6F:B0:EE:AC:E1,0,53,-64,1,10,67,-15
80:6F:B0:EE:AC:E1,0,54,-64,1,10,-67,15
80:6F:B0:EE:AC:E1,0,55,-64,1,10,70,-14
80:6F:B0:EE:AC:E1,0,56,-64,1,10,-71,9
80:6F:B0:EE:AC:E1,0,57,-64,1,10,66,-17
80:6F:B0:EE:AC:E1,0,58,-64,1,10,-69,9
80:6F:B0:EE:AC:E1,0,59,-64,1,10,75,-7
80:6F:B0:EE:AC:E1,0,60,-64,1,10,-68,4
80:6F:B0:EE:AC:E1,0,61,-64,1,10,72,-8
80:6F:B0:EE:AC:E1,0,62,-64,1,10,-63,2
80:6F:B0:EE:AC:E1,0,63,-64,1,10,64,-1
80:6F:B0:EE:AC:E1,0,64,-64,1,10,-64,-6
80:6F:B0:EE:AC:E1,0,65,-64,1,10,70,4
80:6F:B0:EE:AC:E1,0,66,-64,1,10,-76,-8
80:6F:B0:EE:AC:E1,0,67,-64,1,10,63,14
80:6F:B0:EE:AC:E1,0,68,-64,1,10,-72,-15
80:6F:B0:EE:AC:E1,0,69,-64,1,10,69,2
80:6F:B0:EE:AC:E1,0,70,-64,1,10,-67,-30
80:6F:B0:EE:AC:E1,0,71,-64,1,10,64,25
80:6F:B0:EE:AC:E1,0,72,-64,1,10,-69,-22
80:6F:B0:EE:AC:E1,0,73,-64,1,10,65,33
80:6F:B0:EE:AC:E1,0,74,-64,1,10,-67,-34
80:6F:B0:EE:AC:E1,0,75,-64,1,10,71,28
80:6F:B0:EE:AC:E1,0,76,-64,1,10,-54,-35
80:6F:B0:EE:AC:E1,0,77,-64,1,10,63,34
80:6F:B0:EE:AC:E1,0,78,-64,1,10,-60,-37
80:6F:B0:EE:AC:E1,0,79,-64,1,10,66,40
80:6F:B0:EE:AC:E1,0,80,-64,1,10,-48,-47
80:6F:B0:EE:AC:E1,0,81,-64,1,10,54,47
80:6F:B0:EE:AC:E1,1,0,-55,1,36,74,62
80:6F:B0:EE:AC:E1,1,1,-55,1,36,60,-78
80:6F:B0:EE:AC:E1,1,2,-55,1,36,-75,-60
80:6F:B0:EE:AC:E1,1,3,-55,1,36,-62,78
80:6F:B0:EE:AC:E1,1,4,-55,1,36,78,61
80:6F:B0:EE:AC:E1,1,5,-55,1,36,64,-73
80:6F:B0:EE:AC:E1,1,6,-55,1,36,-75,-63
80:6F:B0:EE:AC:E1,1,7,-55,1,36,-62,75
80:6F:B0:EE:AC:E1,1,8,-55,1,36,62,-75
80:6F:B0:EE:AC:E1,1,9,-55,1,36,-58,80
80:6F:B0:EE:AC:E1,1,10,-55,1,36,59,-77
80:6F:B0:EE:AC:E1,1,11,-55,1,36,-61,77
80:6F:B0:EE:AC:E1,1,12,-55,1,36,52,-81
80:6F:B0:EE:AC:E1,1,13,-55,1,36,-55,80
80:6F:B0:EE:AC:E1,1,14,-55,1,36,52,-84
80:6F:B0:EE:AC:E1,1,15,-55,1,36,-53,80
80:6F:B0:EE:AC:E1,1,16,-55,1,36,52,-82
80:6F:B0:EE:AC:E1,1,17,-55,1,36,-54,83
80:6F:B0:EE:AC:E1,1,18,-55,1,36,53,-83
80:6F:B0:EE:AC:E1,1,19,-55,1,36,-57,82
80:6F:B0:EE:AC:E1,1,20,-55,1,36,60,-76
80:6F:B0:EE:AC:E1,1,21,-55,1,36,-55,81
80:6F:B0:EE:AC:E1,1,22,-55,1,36,51,-86
80:6F:B0:EE:AC:E1,1,23,-55,1,36,-57,79
80:6F:B0:EE:AC:E1,1,24,-55,1,36,60,-78
80:6F:B0:EE:AC:E1,1,25,-55,1,36,-57,77
80:6F:B0:EE:AC:E1,1,26,-55,1,36,63,-77
80:6F:B0:EE:AC:E1,1,27,-55,1,36,-60,78
80:6F:B0:EE:AC:E1,1,28,-55,1,36,54,-82
80:6F:B0:EE:AC:E1,1,29,-55,1,36,-53,84
80:6F:B0:EE:AC:E1,1,30,-55,1,36,55,-77
80:6F:B0:EE:AC:E1,1,31,-55,1,36,-49,83
80:6F:B0:EE:AC:E1,1,32,-55,1,36,49,-87
80:6F:B0:EE:AC:E1,1,33,-55,1,36,-54,79
80:6F:B0:EE:AC:E1,1,34,-55,1,36,50,-86
80:6F:B0:EE:AC:E1,1,35,-55,1,36,-56,79
80:6F:B0:EE:AC:E1,1,36,-55,1,36,61,-77
80:6F:B0:EE:AC:E1,1,37,-55,1,36,-61,76
80:6F:B0:EE:AC:E1,1,38,-55,1,36,62,-75
80:6F:B0:EE:AC:E1,1,39,-55,1,36,-54,81
80:6F:B0:EE:AC:E1,1,40,-55,1,36,60,-76
80:6F:B0:EE:AC:E1,1,41,-55,1,36,-58,77
80:6F:B0:EE:AC:E1,1,42,-55,1,36,62,-76
80:6F:B0:EE:AC:E1,1,43,-55,1,36,-60,77
80:6F:B0:EE:AC:E1,1,44,-55,1,36,56,-78
80:6F:B0:EE:AC:E1,1,45,-55,1,36,-60,77
80:6F:B0:EE:AC:E1,1,46,-55,1,36,57,-81
80:6F:B0:EE:AC:E1,1,47,-55,1,36,-61,77
80:6F:B0:EE:AC:E1,1,48,-55,1,36,57,-81
80:6F:B0:EE:AC:E1,1,49,-55,1,36,-56,79
80:6F:B0:EE:AC:E1,1,50,-55,1,36,55,-81
80:6F:B0:EE:AC:E1,1,51,-55,1,36,-52,81
80:6F:B0:EE:AC:E1,1,52,-55,1,36,53,-81
80:6F:B0:EE:AC:E1,1,53,-55,1,36,-52,81
80:6F:B0:EE:AC:E1,1,54,-55,1,36,51,-82
80:6F:B0:EE:AC:E1,1,55,-55,1,36,-55,81
80:6F:B0:EE:AC:E1,1,56,-55,1,36,64,-76
80:6F:B0:EE:AC:E1,1,57,-55,1,36,-61,79
80:6F:B0:EE:AC:E1,1,58,-55,1,36,56,-80
80:6F:B0:EE:AC:E1,1,59,-55,1,36,-56,80
80:6F:B0:EE:AC:E1,1,60,-55,1,36,50,-85
80:6F:B0:EE:AC:E1,1,61,-55,1,36,-63,74
80:6F:B0:EE:AC:E1,1,62,-55,1,36,57,-80
80:6F:B0:EE:AC:E1,1,63,-55,1,36,-58,77
80:6F:B0:EE:AC:E1,1,64,-55,1,36,54,-80
80:6F:B0:EE:AC:E1,1,65,-55,1,36,-49,85
80:6F:B0:EE:AC:E1,1,66,-55,1,36,61,-77
80:6F:B0:EE:AC:E1,1,67,-55,1,36,-60,80
80:6F:B0:EE:AC:E1,1,68,-55,1,36,58,-79
80:6F:B0:EE:AC:E1,1,69,-55,1,36,-48,87
80:6F:B0:EE:AC:E1,1,70,-55,1,36,57,-80
80:6F:B0:EE:AC:E1,1,71,-55,1,36,-60,78
80:6F:B0:EE:AC:E1,1,72,-55,1,36,56,-79
80:6F:B0:EE:AC:E1,1,73,-55,1,36,-62,73
80:6F:B0:EE:AC:E1,1,74,-55,1,36,57,-82
80:6F:B0:EE:AC:E1,1,75,-55,1,36,-55,82
80:6F:B0:EE:AC:E1,1,76,-55,1,36,55,-83
80:6F:B0:EE:AC:E1,1,77,-55,1,36,-57,79
80:6F:B0:EE:AC:E1,1,78,-55,1,36,53,-83
80:6F:B0:EE:AC:E1,1,79,-55,1,36,-61,80
80:6F:B0:EE:AC:E1,1,80,-55,1,36,52,-85
80:6F:B0:EE:AC:E1,1,81,-55,1,36,-56,79
80:6F:B0:EE:AC:E1,2,0,-66,1,25,21,-37
80:6F:B0:EE:AC:E1,2,1,-66,1,25,-35,-22
80:6F:B0:EE:AC:E1,2,2,-66,1,25,-25,35
80:6F:B0:EE:AC:E1,2,3,-66,1,25,36,27
80:6F:B0:EE:AC:E1,2,4,-66,1,25,27,-33
80:6F:B0:EE:AC:E1,2,5,-66,1,25,-33,-30
80:6F:B0:EE:AC:E1,2,6,-66,1,25,-30,31
80:6F:B0:EE:AC:E1,2,7,-66,1,25,34,28
80:6F:B0:EE:AC:E1,2,8,-66,1,25,-32,-28
80:6F:B0:EE:AC:E1,2,9,-66,1,25,35,26
80:6F:B0:EE:AC:E1,2,10,-66,1,25,-33,-26
80:6F:B0:EE:AC:E1,2,11,-66,1,25,35,24
80:6F:B0:EE:AC:E1,2,12,-66,1,25,-34,-25
80:6F:B0:EE:AC:E1,2,13,-66,1,25,31,29
80:6F:B0:EE:AC:E1,2,14,-66,1,25,-34,-24
80:6F:B0:EE:AC:E1,2,15,-66,1,25,36,25
80:6F:B0:EE:AC:E1,2,16,-66,1,25,-34,-29
80:6F:B0:EE:AC:E1,2,17,-66,1,25,13,19
80:6F:B0:EE:AC:E1,2,18,-66,1,25,-54,10
80:6F:B0:EE:AC:E1,2,19,-66,1,25,9,66
80:6F:B0:EE:AC:E1,2,20,-66,1,25,-55,8
80:6F:B0:EE:AC:E1,2,21,-66,1,25,65,19
80:6F:B0:EE:AC:E1,2,22,-66,1,25,0,-57
80:6F:B0:EE:AC:E1,2,23,-66,1,25,6,46
80:6F:B0:EE:AC:E1,2,24,-66,1,25,-53,26
80:6F:B0:EE:AC:E1,2,25,-66,1,25,6,44
80:6F:B0:EE:AC:E1,2,26,-66,1,25,-68,-15
80:6F:B0:EE:AC:E1,2,27,-66,1,25,60,17
80:6F:B0:EE:AC:E1,2,28,-66,1,25,-61,15
80:6F:B0:EE:AC:E1,2,29,-66,1,25,-1,31
80:6F:B0:EE:AC:E1,2,30,-66,1,25,2,-28
80:6F:B0:EE:AC:E1,2,31,-66,1,25,-11,59
80:6F:B0:EE:AC:E1,2,32,-66,1,25,27,-52
80:6F:B0:EE:AC:E1,2,33,-66,1,25,59,37
80:6F:B0:EE:AC:E1,2,34,-66,1,25,13,-8
80:6F:B0:EE:AC:E1,2,35,-66,1,25,63,50
80:6F:B0:EE:AC:E1,2,36,-66,1,25,-91,-15
80:6F:B0:EE:AC:E1,2,37,-66,1,25,61,60
80:6F:B0:EE:AC:E1,2,38,-66,1,25,-80,-45
80:6F:B0:EE:AC:E1,2,39,-66,1,25,87,53
80:6F:B0:EE:AC:E1,2,40,-66,1,25,-88,-58
80:6F:B0:EE:AC:E1,2,41,-66,1,25,46,67
80:6F:B0:EE:AC:E1,2,42,-66,1,25,-83,-51
80:6F:B0:EE:AC:E1,2,43,-66,1,25,26,-6
80:6F:B0:EE:AC:E1,2,44,-66,1,25,-72,-75
80:6F:B0:EE:AC:E1,2,45,-66,1,25,-6,-13
80:6F:B0:EE:AC:E1,2,46,-66,1,25,-32,-63
80:6F:B0:EE:AC:E1,2,47,-66,1,25,60,76
80:6F:B0:EE:AC:E1,2,48,-66,1,25,-54,-82
80:6F:B0:EE:AC:E1,2,49,-66,1,25,9,69
80:6F:B0:EE:AC:E1,2,50,-66,1,25,-43,9
80:6F:B0:EE:AC:E1,2,51,-66,1,25,44,4
80:6F:B0:EE:AC:E1,2,52,-66,1,25,-56,-10
80:6F:B0:EE:AC:E1,2,53,-66,1,25,56,20
80:6F:B0:EE:AC:E1,2,54,-66,1,25,-35,20
80:6F:B0:EE:AC:E1,2,55,-66,1,25,14,91
80:6F:B0:EE:AC:E1,2,56,-66,1,25,-55,-12
80:6F:B0:EE:AC:E1,2,57,-66,1,25,58,16
80:6F:B0:EE:AC:E1,2,58,-66,1,25,10,-85
80:6F:B0:EE:AC:E1,2,59,-66,1,25,-25,80
80:6F:B0:EE:AC:E1,2,60,-66,1,25,19,-31
80:6F:B0:EE:AC:E1,2,61,-66,1,25,84,0
80:6F:B0:EE:AC:E1,2,62,-66,1,25,2,-19
80:6F:B0:EE:AC:E1,2,63,-66,1,25,-21,58
80:6F:B0:EE:AC:E1,2,64,-66,1,25,-53,-48
80:6F:B0:EE:AC:E1,2,65,-66,1,25,-9,9
80:6F:B0:EE:AC:E1,2,66,-66,1,25,32,-33
80:6F:B0:EE:AC:E1,2,67,-66,1,25,86,27
80:6F:B0:EE:AC:E1,2,68,-66,1,25,27,-30
80:6F:B0:EE:AC:E1,2,69,-66,1,25,43,58
80:6F:B0:EE:AC:E1,2,70,-66,1,25,-2,4
80:6F:B0:EE:AC:E1,2,71,-66,1,25,87,54
80:6F:B0:EE:AC:E1,2,72,-66,1,25,27,-10
80:6F:B0:EE:AC:E1,2,73,-66,1,25,-23,-10
80:6F:B0:EE:AC:E1,2,74,-66,1,25,-68,-69
80:6F:B0:EE:AC:E1,2,75,-66,1,25,26,-2
80:6F:B0:EE:AC:E1,2,76,-66,1,25,-64,-92
