identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,0,0,-60,1,23,-67,-93
80:6F:B0:EE:AC:E1,0,1,-60,1,23,-92,80
80:6F:B0:EE:AC:E1,0,2,-60,1,23,91,79
80:6F:B0:EE:AC:E1,0,3,-60,1,23,60,-100
80:6F:B0:EE:AC:E1,0,4,-60,1,23,-105,-51
80:6F:B0:EE:AC:E1,0,5,-60,1,23,-46,107
80:6F:B0:EE:AC:E1,0,6,-60,1,23,112,35
80:6F:B0:EE:AC:E1,0,7,-60,1,23,15,-116
80:6F:B0:EE:AC:E1,0,8,-60,1,23,-2,115
80:6F:B0:EE:AC:E1,0,9,-60,1,23,-26,-114
80:6F:B0:EE:AC:E1,0,10,-60,1,23,49,112
80:6F:B0:EE:AC:E1,0,11,-60,1,23,-73,-94
80:6F:B0:EE:AC:E1,0,12,-60,1,23,95,75
80:6F:B0:EE:AC:E1,0,13,-60,1,23,-105,-51
80:6F:B0:EE:AC:E1,0,14,-60,1,23,116,30
80:6F:B0:EE:AC:E1,0,15,-60,1,23,-115,11
80:6F:B0:EE:AC:E1,0,16,-60,1,23,115,-35
80:6F:B0:EE:AC:E1,0,17,-60,1,23,-107,47
80:6F:B0:EE:AC:E1,0,18,-60,1,23,99,-72
80:6F:B0:EE:AC:E1,0,19,-60,1,23,-75,90
80:6F:B0:EE:AC:E1,0,20,-60,1,23,54,-112
80:6F:B0:EE:AC:E1,0,21,-60,1,23,-29,118
80:6F:B0:EE:AC:E1,0,22,-60,1,23,9,-118
80:6F:B0:EE:AC:E1,0,23,-60,1,23,18,116
80:6F:B0:EE:AC:E1,0,24,-60,1,23,-42,-110
80:6F:B0:EE:AC:E1,0,25,-60,1,23,59,100
80:6F:B0:EE:AC:E1,0,26,-60,1,23,-84,-87
80:6F:B0:EE:AC:E1,0,27,-60,1,23,103,60
80:6F:B0:EE:AC:E1,0,28,-60,1,23,-113,-41
80:6F:B0:EE:AC:E1,0,29,-60,1,23,116,17
80:6F:B0:EE:AC:E1,0,30,-60,1,23,-119,10
80:6F:B0:EE:AC:E1,0,31,-60,1,23,111,-32
80:6F:B0:EE:AC:E1,0,32,-60,1,23,-114,51
80:6F:B0:EE:AC:E1,0,33,-60,1,23,101,-65
80:6F:B0:EE:AC:E1,0,34,-60,1,23,-81,87
80:6F:B0:EE:AC:E1,0,35,-60,1,23,62,-99
80:6F:B0:EE:AC:E1,0,36,-60,1,23,-40,110
80:6F:B0:EE:AC:E1,0,37,-60,1,23,10,-115
80:6F:B0:EE:AC:E1,0,38,-60,1,23,22,115
80:6F:B0:EE:AC:E1,0,39,-60,1,23,-43,-113
80:6F:B0:EE:AC:E1,0,40,-60,1,23,56,101
80:6F:B0:EE:AC:E1,0,41,-60,1,23,-82,-90
80:6F:B0:EE:AC:E1,0,42,-60,1,23,98,62
80:6F:B0:EE:AC:E1,0,43,-60,1,23,-109,-45
80:6F:B0:EE:AC:E1,0,44,-60,1,23,117,21
80:6F:B0:EE:AC:E1,0,45,-60,1,23,-117,-4
80:6F:B0:EE:AC:E1,0,46,-60,1,23,111,-31
80:6F:B0:EE:AC:E1,0,47,-60,1,23,-99,67
80:6F:B0:EE:AC:E1,0,48,-60,1,23,74,-87
80:6F:B0:EE:AC:E1,0,49,-60,1,23,-56,107
80:6F:B0:EE:AC:E1,0,50,-60,1,23,45,-108
80:6F:B0:EE:AC:E1,0,51,-60,1,23,-24,115
80:6F:B0:EE:AC:E1,0,52,-60,1,23,-6,-113
80:6F:B0:EE:AC:E1,0,53,-60,1,23,20,117
80:6F:B0:EE:AC:E1,0,54,-60,1,23,-45,-108
80:6F:B0:EE:AC:E1,0,55,-60,1,23,70,97
80:6F:B0:EE:AC:E1,0,56,-60,1,23,-85,-78
80:6F:B0:EE:AC:E1,0,57,-60,1,23,102,62
80:6F:B0:EE:AC:E1,0,58,-60,1,23,-112,-45
80:6F:B0:EE:AC:E1,0,59,-60,1,23,120,13
80:6F:B0:EE:AC:E1,0,60,-60,1,23,-118,9
80:6F:B0:EE:AC:E1,0,61,-60,1,23,114,-39
80:6F:B0:EE:AC:E1,0,62,-60,1,23,-102,67
80:6F:B0:EE:AC:E1,0,63,-60,1,23,78,-92
80:6F:B0:EE:AC:E1,0,64,-60,1,23,-53,98
80:6F:B0:EE:AC:E1,0,65,-60,1,23,51,-104
80:6F:B0:EE:AC:E1,0,66,-60,1,23,-26,111
80:6F:B0:EE:AC:E1,0,67,-60,1,23,-1,-120
80:6F:B0:EE:AC:E1,0,68,-60,1,23,24,109
80:6F:B0:EE:AC:E1,0,69,-60,1,23,-46,-109
80:6F:B0:EE:AC:E1,0,70,-60,1,23,71,95
80:6F:B0:EE:AC:E1,0,71,-60,1,23,-91,-77
80:6F:B0:EE:AC:E1,0,72,-60,1,23,106,56
80:6F:B0:EE:AC:E1,0,73,-60,1,23,-113,-28
80:6F:B0:EE:AC:E1,0,74,-60,1,23,122,18
80:6F:B0:EE:AC:E1,0,75,-60,1,23,-120,24
80:6F:B0:EE:AC:E1,0,76,-60,1,23,102,-42
80:6F:B0:EE:AC:E1,0,77,-60,1,23,-88,78
80:6F:B0:EE:AC:E1,0,78,-60,1,23,72,-92
80:6F:B0:EE:AC:E1,0,79,-60,1,23,-56,107
80:6F:B0:EE:AC:E1,0,80,-60,1,23,34,-113
80:6F:B0:EE:AC:E1,0,81,-60,1,23,-10,116
80:6F:B0:EE:AC:E1,1,0,-59,1,31,-17,-54
80:6F:B0:EE:AC:E1,1,1,-59,1,31,-64,14
80:6F:B0:EE:AC:E1,1,2,-59,1,31,19,57
80:6F:B0:EE:AC:E1,1,3,-59,1,31,53,-26
80:6F:B0:EE:AC:E1,1,4,-59,1,31,-30,-56
80:6F:B0:EE:AC:E1,1,5,-59,1,31,-53,30
80:6F:B0:EE:AC:E1,1,6,-59,1,31,25,54
80:6F:B0:EE:AC:E1,1,7,-59,1,31,57,-33
80:6F:B0:EE:AC:E1,1,8,-59,1,31,-41,34
80:6F:B0:EE:AC:E1,1,9,-59,1,31,46,-50
80:6F:B0:EE:AC:E1,1,10,-59,1,31,-43,43
80:6F:B0:EE:AC:E1,1,11,-59,1,31,30,-59
80:6F:B0:EE:AC:E1,1,12,-59,1,31,-20,57
80:6F:B0:EE:AC:E1,1,13,-59,1,31,16,-59
80:6F:B0:EE:AC:E1,1,14,-59,1,31,-1,61
80:6F:B0:EE:AC:E1,1,15,-59,1,31,-3,-60
80:6F:B0:EE:AC:E1,1,16,-59,1,31,16,61
80:6F:B0:EE:AC:E1,1,17,-59,1,31,-16,-68
80:6F:B0:EE:AC:E1,1,18,-59,1,31,26,57
80:6F:B0:EE:AC:E1,1,19,-59,1,31,-23,-65
80:6F:B0:EE:AC:E1,1,20,-59,1,31,36,51
80:6F:B0:EE:AC:E1,1,21,-59,1,31,-39,-51
80:6F:B0:EE:AC:E1,1,22,-59,1,31,57,34
80:6F:B0:EE:AC:E1,1,23,-59,1,31,-51,-24
80:6F:B0:EE:AC:E1,1,24,-59,1,31,64,14
80:6F:B0:EE:AC:E1,1,25,-59,1,31,-63,-11
80:6F:B0:EE:AC:E1,1,26,-59,1,31,64,4
80:6F:B0:EE:AC:E1,1,27,-59,1,31,-59,-3
80:6F:B0:EE:AC:E1,1,28,-59,1,31,65,-7
80:6F:B0:EE:AC:E1,1,29,-59,1,31,-57,18
80:6F:B0:EE:AC:E1,1,30,-59,1,31,51,-20
80:6F:B0:EE:AC:E1,1,31,-59,1,31,-60,40
80:6F:B0:EE:AC:E1,1,32,-59,1,31,46,-37
