identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,0,0,-66,1,2,-4,83
80:6F:B0:EE:AC:E1,0,1,-66,1,2,81,8
80:6F:B0:EE:AC:E1,0,2,-66,1,2,12,-78
80:6F:B0:EE:AC:E1,0,3,-66,1,2,-81,-10
80:6F:B0:EE:AC:E1,0,4,-66,1,2,-17,81
80:6F:B0:EE:AC:E1,0,5,-66,1,2,81,15
80:6F:B0:EE:AC:E1,0,6,-66,1,2,17,-79
80:6F:B0:EE:AC:E1,0,7,-66,1,2,-75,-12
80:6F:B0:EE:AC:E1,0,8,-66,1,2,82,20
80:6F:B0:EE:AC:E1,0,9,-66,1,2,-76,-24
80:6F:B0:EE:AC:E1,0,10,-66,1,2,77,28
80:6F:B0:EE:AC:E1,0,11,-66,1,2,-73,-36
80:6F:B0:EE:AC:E1,0,12,-66,1,2,73,35
80:6F:B0:EE:AC:E1,0,13,-66,1,2,-73,-34
80:6F:B0:EE:AC:E1,0,14,-66,1,2,76,34
80:6F:B0:EE:AC:E1,0,15,-66,1,2,-70,-42
80:6F:B0:EE:AC:E1,0,16,-66,1,2,66,45
80:6F:B0:EE:AC:E1,0,17,-66,1,2,-63,-58
80:6F:B0:EE:AC:E1,0,18,-66,1,2,64,48
80:6F:B0:EE:AC:E1,0,19,-66,1,2,-67,-53
80:6F:B0:EE:AC:E1,0,20,-66,1,2,62,50
80:6F:B0:EE:AC:E1,0,21,-66,1,2,-58,-56
80:6F:B0:EE:AC:E1,0,22,-66,1,2,55,58
80:6F:B0:EE:AC:E1,0,23,-66,1,2,-54,-63
80:6F:B0:EE:AC:E1,0,24,-66,1,2,49,66
80:6F:B0:EE:AC:E1,0,25,-66,1,2,-46,-66
80:6F:B0:EE:AC:E1,0,26,-66,1,2,40,72
80:6F:B0:EE:AC:E1,0,27,-66,1,2,-40,-69
80:6F:B0:EE:AC:E1,0,28,-66,1,2,39,73
80:6F:B0:EE:AC:E1,0,29,-66,1,2,-39,-70
80:6F:B0:EE:AC:E1,0,30,-66,1,2,35,74
80:6F:B0:EE:AC:E1,0,31,-66,1,2,-38,-72
80:6F:B0:31:FB:AF,1,0,-87,1,16,-49,34
80:6F:B0:31:FB:AF,1,1,-87,1,16,-56,15
80:6F:B0:31:FB:AF,1,2,-87,1,16,-51,-8
80:6F:B0:31:FB:AF,1,3,-87,1,16,-41,-26
80:6F:B0:31:FB:AF,1,4,-87,1,16,-27,-40
80:6F:B0:31:FB:AF,1,5,-87,1,16,-9,-50
80:6F:B0:31:FB:AF,1,6,-87,1,16,8,-54
80:6F:B0:31:FB:AF,1,7,-87,1,16,24,-53
80:6F:B0:31:FB:AF,1,8,-87,1,16,39,-44
80:6F:B0:31:FB:AF,1,9,-87,1,16,46,-27
80:6F:B0:31:FB:AF,1,10,-87,1,16,49,-3
80:6F:B0:31:FB:AF,1,11,-87,1,16,45,18
80:6F:B0:31:FB:AF,1,12,-87,1,16,38,35
80:6F:B0:31:FB:AF,1,13,-87,1,16,25,47
80:6F:B0:31:FB:AF,1,14,-87,1,16,9,53
80:6F:B0:31:FB:AF,1,15,-87,1,16,-11,54
80:6F:B0:31:FB:AF,1,16,-87,1,16,-35,45
80:6F:B0:31:FB:AF,1,17,-87,1,16,-52,28
80:6F:B0:31:FB:AF,1,18,-87,1,16,-61,7
80:6F:B0:31:FB:AF,1,19,-87,1,16,-57,-16
80:6F:B0:31:FB:AF,1,20,-87,1,16,-46,-33
80:6F:B0:31:FB:AF,1,21,-87,1,16,-28,-47
80:6F:B0:31:FB:AF,1,22,-87,1,16,-8,-54
80:6F:B0:31:FB:AF,1,23,-87,1,16,12,-54
80:6F:B0:31:FB:AF,1,24,-87,1,16,33,-45
80:6F:B0:31:FB:AF,1,25,-87,1,16,48,-30
80:6F:B0:31:FB:AF,1,26,-87,1,16,57,-10
80:6F:B0:31:FB:AF,1,27,-87,1,16,57,12
80:6F:B0:31:FB:AF,1,28,-87,1,16,48,29
80:6F:B0:31:FB:AF,1,29,-87,1,16,32,41
80:6F:B0:31:FB:AF,1,30,-87,1,16,12,49
80:6F:B0:31:FB:AF,1,31,-87,1,16,-3,48
80:6F:B0:31:FB:AF,1,32,-87,1,16,-16,42
80:6F:B0:EE:AC:E1,1,32,-66,1,2,28,76
