identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:EE:AC:E1,0,0,-68,1,36,18,-115
80:6F:B0:EE:AC:E1,0,1,-68,1,36,-120,-7
80:6F:B0:EE:AC:E1,0,2,-68,1,36,-7,119
80:6F:B0:EE:AC:E1,0,3,-68,1,36,112,-6
80:6F:B0:EE:AC:E1,0,4,-68,1,36,-11,-120
80:6F:B0:EE:AC:E1,0,5,-68,1,36,-113,22
80:6F:B0:EE:AC:E1,0,6,-68,1,36,22,112
80:6F:B0:EE:AC:E1,0,7,-68,1,36,112,-18
80:6F:B0:EE:AC:E1,0,8,-68,1,36,-113,35
80:6F:B0:EE:AC:E1,0,9,-68,1,36,111,-45
80:6F:B0:EE:AC:E1,0,10,-68,1,36,-99,61
80:6F:B0:EE:AC:E1,0,11,-68,1,36,99,-58
80:6F:B0:EE:AC:E1,0,12,-68,1,36,-101,67
80:6F:B0:EE:AC:E1,0,13,-68,1,36,90,-73
80:6F:B0:EE:AC:E1,0,14,-68,1,36,-77,89
80:6F:B0:EE:AC:E1,0,15,-68,1,36,66,-94
80:6F:B0:EE:AC:E1,0,16,-68,1,36,-58,103
80:6F:B0:EE:AC:E1,0,17,-68,1,36,50,-109
80:6F:B0:EE:AC:E1,0,18,-68,1,36,-39,106
80:6F:B0:EE:AC:E1,0,19,-68,1,36,31,-115
80:6F:B0:EE:AC:E1,0,20,-68,1,36,-20,113
80:6F:B0:EE:AC:E1,0,21,-68,1,36,8,-117
80:6F:B0:EE:AC:E1,0,22,-68,1,36,4,117
80:6F:B0:EE:AC:E1,0,23,-68,1,36,-18,-113
80:6F:B0:EE:AC:E1,0,24,-68,1,36,31,115
80:6F:B0:EE:AC:E1,0,25,-68,1,36,-47,-101
80:6F:B0:EE:AC:E1,0,26,-68,1,36,47,109
80:6F:B0:EE:AC:E1,0,27,-68,1,36,-53,-107
80:6F:B0:EE:AC:E1,0,28,-68,1,36,69,96
80:6F:B0:EE:AC:E1,0,29,-68,1,36,-83,-82
80:6F:B0:EE:AC:E1,0,30,-68,1,36,92,69
80:6F:B0:EE:AC:E1,0,31,-68,1,36,-97,-65
80:6F:B0:EE:AC:E1,0,32,-68,1,36,107,53
80:6F:B0:EE:AC:E1,0,33,-68,1,36,-106,-42
80:6F:B0:EE:AC:E1,0,34,-68,1,36,113,33
80:6F:B0:EE:AC:E1,0,35,-68,1,36,-109,-27
80:6F:B0:EE:AC:E1,0,36,-68,1,36,115,20
80:6F:B0:EE:AC:E1,0,37,-68,1,36,-118,-13
80:6F:B0:EE:AC:E1,0,38,-68,1,36,113,-6
80:6F:B0:EE:AC:E1,0,39,-68,1,36,-119,22
80:6F:B0:EE:AC:E1,0,40,-68,1,36,113,-20
80:6F:B0:EE:AC:E1,0,41,-68,1,36,-104,34
